제품명,가격,사용기한,사용방법
[1위등드름워시] 파티온 노스카나인 트러블 바디워시 490ml 기획,17910,"제조일로부터 36개월, 개봉 후 12개월 (2023년 4월 28일 이후 제조된 상품만을 취급)","적당량을 샤워 타올 또는 손에 펌핑해 거품을 낸 후, 바디 전체에 부드럽게 문지른 뒤 물로 깨끗이 씻어 냅니다."
[1+1한정기획] 토리든 다이브인 히알루론산 수딩 크림 100ml 더블 한정 기획 (+토너 100ml),42000,제조일로부터 36개월 / 개봉 후 12개월,본 제품이 적당량을 덜어 피부에 골고루 펴 바른 후 톡톡 두들겨 흡수시켜 줍니다.
